,precision,recall,f1-score,support
BMW X3,0.895,0.81,0.85,21.0
CHEVROLET COLORADO,0.857,0.75,0.8,40.0
MERCEDES-BENZ E CLASS,0.75,0.686,0.716,35.0
KIA CADENZA,0.778,1.0,0.875,7.0
NISSAN MURANO,0.833,0.909,0.87,22.0
MITSUBISHI MIRAGE,0.706,1.0,0.828,12.0
HONDA HR-V,1.0,1.0,1.0,6.0
JAGUAR XJ,0.933,0.933,0.933,15.0
ROLLS-ROYCE GHOST,0.818,1.0,0.9,9.0
AUDI Q7,0.786,0.786,0.786,14.0
FORD SUPER DUTY F-250,0.821,0.852,0.836,27.0
HONDA RIDGELINE,0.714,0.833,0.769,18.0
MITSUBISHI OUTLANDER SPORT,0.75,0.818,0.783,22.0
INFINITI QX30,1.0,1.0,1.0,1.0
LINCOLN MKZ,0.833,0.926,0.877,27.0
ASTON MARTIN DB11,1.0,0.4,0.571,5.0
DODGE CHALLENGER,0.658,0.833,0.735,30.0
TOYOTA HIGHLANDER,0.762,0.64,0.696,25.0
CHEVROLET EQUINOX,0.81,0.944,0.872,18.0
GMC CANYON,0.704,0.905,0.792,21.0
HYUNDAI ACCENT,0.6,0.75,0.667,12.0
BUICK CASCADA,0.857,1.0,0.923,6.0
HONDA PASSPORT,0.909,1.0,0.952,10.0
SUBARU CROSSTREK,0.95,0.826,0.884,23.0
JEEP WRANGLER,0.963,0.963,0.963,27.0
TOYOTA TUNDRA,0.769,0.667,0.714,30.0
MITSUBISHI OUTLANDER,0.846,0.55,0.667,20.0
HONDA CIVIC,0.909,0.312,0.465,32.0
JAGUAR F-TYPE,0.867,0.929,0.897,14.0
MINI COOPER COUNTRYMAN,0.862,0.926,0.893,27.0
HONDA CR-V,0.75,0.833,0.789,18.0
MAZDA MAZDA3,0.667,0.529,0.59,34.0
MERCEDES-BENZ CLS CLASS,0.684,0.765,0.722,17.0
AUDI A6,0.737,0.609,0.667,23.0
MAZDA MAZDA6,0.889,0.696,0.78,23.0
HYUNDAI VENUE,0.667,1.0,0.8,2.0
LEXUS RX,0.846,0.611,0.71,18.0
CADILLAC CT6,0.692,1.0,0.818,9.0
CADILLAC XTS,0.727,0.889,0.8,9.0
HYUNDAI PALISADE,0.833,1.0,0.909,5.0
PORSCHE CAYENNE,0.737,0.667,0.7,21.0
MASERATI GHIBLI,1.0,1.0,1.0,3.0
TOYOTA PRIUS,0.651,0.903,0.757,31.0
LAND ROVER RANGE ROVER EVOQUE,1.0,0.857,0.923,7.0
HONDA FIT,0.714,0.714,0.714,14.0
PORSCHE TAYCAN,1.0,1.0,1.0,8.0
CHEVROLET CRUZE,0.75,0.667,0.706,18.0
MERCEDES-BENZ METRIS,1.0,1.0,1.0,8.0
CHEVROLET SPARK,0.833,0.909,0.87,11.0
MITSUBISHI ECLIPSE CROSS,1.0,1.0,1.0,3.0
HYUNDAI ELANTRA,0.667,0.593,0.627,27.0
JEEP GRAND CHEROKEE,0.955,0.913,0.933,23.0
SUBARU FORESTER,0.75,0.643,0.692,14.0
TOYOTA YARIS,0.632,0.429,0.511,28.0
ACURA RLX,0.643,1.0,0.783,18.0
VOLKSWAGEN E-GOLF,0.667,1.0,0.8,6.0
LAMBORGHINI AVENTADOR,1.0,1.0,1.0,4.0
MERCEDES-BENZ S CLASS,0.815,0.688,0.746,32.0
KIA OPTIMA,0.778,0.84,0.808,25.0
AUDI A5,0.92,0.697,0.793,33.0
SUBARU BRZ,0.692,1.0,0.818,9.0
AUDI R8,0.76,0.864,0.809,22.0
BMW 6-SERIES,0.774,0.686,0.727,35.0
FORD ESCAPE,1.0,0.857,0.923,21.0
HYUNDAI TUCSON,0.913,0.875,0.894,24.0
BMW 2-SERIES,0.75,0.677,0.712,31.0
BMW 5-SERIES,0.731,0.514,0.603,37.0
SUBARU OUTBACK,0.778,0.824,0.8,17.0
KIA SOUL,0.875,0.875,0.875,24.0
MAZDA CX-3,0.818,0.9,0.857,10.0
LAND ROVER DISCOVERY,0.846,1.0,0.917,11.0
ACURA RDX,0.769,0.952,0.851,21.0
MERCEDES-BENZ GLS CLASS,0.75,1.0,0.857,6.0
MINI CLUBMAN,0.8,0.857,0.828,14.0
BMW X4,0.8,1.0,0.889,12.0
RAM 2500,0.862,0.926,0.893,27.0
LINCOLN AVIATOR,1.0,1.0,1.0,13.0
CHEVROLET MALIBU,0.875,0.609,0.718,23.0
MERCEDES-BENZ G CLASS,0.84,0.913,0.875,23.0
HYUNDAI VELOSTER,0.778,0.824,0.8,17.0
PORSCHE 911,0.867,0.788,0.825,33.0
VOLVO XC90,0.952,0.833,0.889,24.0
LINCOLN CONTINENTAL,0.706,0.923,0.8,13.0
MERCEDES-BENZ SLC CLASS,1.0,1.0,1.0,5.0
KIA FORTE,0.389,0.389,0.389,18.0
TOYOTA C-HR,0.5,1.0,0.667,2.0
KIA TELLURIDE,1.0,0.75,0.857,4.0
FIAT 124 SPIDER,1.0,1.0,1.0,9.0
SUBARU ASCENT,0.6,1.0,0.75,6.0
CHEVROLET BOLT EV,1.0,1.0,1.0,8.0
CHEVROLET TRAX,0.933,0.933,0.933,15.0
CADILLAC XT6,1.0,1.0,1.0,4.0
